timestamp,user,avg_X,avg_Y
946768200000,163,340473.4810610743,112316.51294929127
946768500000,163,340447.9839600551,112675.56136742626
1176370200000,142,340799.66176224325,110565.7858942447
1176370500000,142,340805.1795611835,110575.05213813916
1176370800000,142,340806.4200159015,110605.32186816749
1176371100000,142,340799.3676823354,110660.30158189512
1176372300000,142,340771.0542675205,110652.2708371965
1176372600000,142,340775.8170620963,110706.63280133129
1176372900000,142,340783.5205752533,110681.61394283624
1176372900000,161,340787.93525068567,110708.48605011232
1176373200000,161,340802.4864043445,110762.23026465187
1176373200000,163,340780.2231154686,110798.8319280083
1176373500000,142,340806.65555246867,110778.60062885338
1176373500000,161,340807.7999802298,110780.76275242577
1176373500000,163,340791.4101232416,110745.55102565698
1176373800000,142,340810.4961526833,110723.31204032814
1176376200000,142,340525.4366257542,111033.73121054226
1176376500000,142,340378.70390554774,111675.88191191561
1176376800000,142,337936.39254957077,111587.54372019439
1176377100000,142,335782.6121740543,109063.91308503717
1176377400000,142,335344.2347659271,107743.69983931501
1176385500000,097,340792.59410486685,110691.80681111588
1176386400000,097,340805.26568371605,110765.93676220444
1176387600000,097,340723.645696148,110704.77955255026
1176387900000,097,340055.93313234375,110674.04651032809
1176388200000,097,339282.90025466704,110301.61370488616
1176388500000,097,339107.26209627127,109854.1383637192
1176388500000,163,340811.05755416304,110697.82986963753
1176388800000,163,340899.53414568707,110671.42107456044
1176389100000,163,341785.21348642645,110516.36592684886
1176389400000,163,342042.9425703325,109983.49512838549
1176389700000,163,342063.8674630858,109817.81468768702
1176425400000,163,342099.8987185013,109857.47421152079
1176425700000,163,341986.18012664706,110304.3688019989
1176426000000,163,341366.387925815,110604.70411857447
1176426300000,163,340845.0513631479,110680.68731845105
1176427800000,142,335620.1466963383,107636.62324328785
1176428100000,142,335652.038002388,107990.29959329989
1176428400000,142,335671.88622670947,108287.03119754573
1176428700000,142,337698.6046867725,108821.20488606043
1176429000000,142,337921.0180073654,108853.38402392366
1176429900000,142,340793.86910436675,110861.19374936714
1176441300000,163,340687.4893712797,110722.69429073407
1176441600000,142,340503.76704507956,111647.71253050072
1176441600000,163,340495.731292772,111595.90709929062
1176441900000,142,340344.2957308431,112509.5791119252
1176441900000,163,340377.38985827274,112474.32326018282
1176447600000,142,340411.8096374141,112517.05094033027
1176447600000,163,340437.6090783124,112456.84094671653
1176447900000,142,340461.0975741837,111987.5983562767
1176447900000,163,340462.1870172806,112048.57024105398
1176448200000,142,340509.24683457613,111238.51520044397
1176448200000,163,340516.9873721009,111255.09690003472
1176448500000,142,340736.84890225565,110782.61600120609
1176448500000,163,340726.4627967058,110808.82623391361
1176461700000,161,340780.5190964551,110785.395874373
1176474900000,161,340690.2673855197,110683.15831681494
1176475200000,161,340554.2074972183,110647.32884045619
1176475500000,161,340586.1170491481,110020.93075368986
1176475800000,161,339559.86904078996,109512.34633920414
1176476100000,161,339917.04986656766,106537.08780198458
1176476400000,161,339665.1749148785,105320.24946837193
1176476700000,161,339588.7085032047,105345.18408828459
1176477600000,111,340815.89067771065,110705.70617694355
1176477900000,111,341011.90953093255,110096.91395356263
1176478200000,111,344441.3293578438,109002.43817559125
1176478500000,111,345033.4202459799,107657.21489636929
1176478800000,111,348537.2807220723,106515.8195660188
1176502200000,142,335658.51852113457,107465.30068964265
1176502800000,142,335652.5944864,107474.56693352606
1176503100000,142,335648.66388473223,107457.88769452882
1176503700000,142,335641.8717272521,107441.20845553238
1176505200000,142,334828.7690112262,113205.01806980901
1176505500000,142,334906.6997348973,114869.64730498567
1176505800000,142,333916.8381547034,117824.09650593155
1176506100000,142,331148.8818126856,118060.94169968339
1176506400000,142,328242.17386319593,118309.27703585644
1176506700000,142,325942.2231059814,119017.5269436236
1176507000000,142,324172.3404215158,119205.19563599583
1176507300000,142,322483.31815211184,119840.85477547195
1176507600000,142,322015.4850448579,122313.52989424569
1176507900000,142,321871.6756072078,123258.2234585311
1176512100000,128,340312.9625274468,121881.25961691432
1176512400000,128,340215.47902494174,122023.80533537744
1176512700000,128,339937.6198036751,121967.66734116133
1176513000000,128,339815.7548994239,121935.4671436506
1176513300000,128,338843.7246383563,121077.58143687538
1176513600000,128,339521.2997272145,119947.19595531838
1176513900000,128,339749.7847219536,119649.17590192296
1176514200000,128,339920.0000468302,119407.01806167427
1176514500000,128,340021.26871440466,119086.46779814432
1176514800000,128,340052.5669749229,118986.33058920427
1176515100000,128,339804.01893514243,118723.25751275379
1176515400000,128,339976.37031702243,118372.06686943372
1176515700000,128,340179.9423270337,118045.76270969803
1176516000000,128,340218.19890270615,117804.5756188097
1176516300000,128,339832.69962620764,117786.04313103641
1176516600000,128,339514.23962773324,117742.30645988889
1176516900000,128,339182.1517321191,117403.0383837026
1176517200000,128,338934.1788427011,116630.41014340792
1176517500000,128,338705.5922662297,116434.8188557735
1176517500000,161,339702.19089186366,105299.22351860648
1176517800000,128,338926.0776789765,115403.46017157829
1176517800000,161,339903.3135813274,105415.45310443013
1176518100000,128,339042.1030728068,113842.94748229957
1176518100000,161,340016.4195082803,105707.49422426941
1176518400000,128,338922.33522480977,112961.72768864174
1176518400000,161,340103.62515620445,105785.63954771584
1176518700000,128,338944.07008606556,112755.86263695123
1176518700000,161,340046.46447771,106075.36410658536
1176519000000,128,338979.8958150702,112496.25337071616
1176519300000,128,339015.4809753436,112235.87191748897
1176519600000,128,339002.50948183954,112185.9886378992
1176519600000,161,339970.675006792,106366.32416464273
1176519900000,128,339006.08646247897,112055.42726152977
1176520200000,128,339002.2741173073,111952.01597974745
1176520500000,128,339024.4835297666,111755.57160934569
1176520800000,128,339097.10613624234,111380.77929777262
1176521100000,128,339393.02261382225,111168.70949649894
1176521400000,128,339766.0035698513,111190.56238833207
1176521700000,111,344801.112476849,109795.32860252005
1176521700000,128,340198.0506062477,111166.23849812818
1176522000000,111,343577.04741424695,109744.68767122168
1176522000000,128,340534.3466918256,111051.33707393125
1176522300000,111,342380.08885221457,110247.86106648347
1176522300000,128,340659.05453351984,110852.80779865061
1176522600000,111,341401.25731680816,110686.83230123598
1176522900000,111,340891.8989629859,110859.21695066876
1176534300000,142,321986.55070615443,123335.59659498715
1176534600000,142,322040.3624542862,123308.26117552143
1176534900000,142,323076.0651884743,122005.89059719483
1176535200000,142,323479.5251499842,120893.01470636335
1176535800000,142,332155.95303214784,121057.9538475491
1176536100000,142,333640.653017759,118889.46745310447
1176536400000,142,334608.17425606283,117587.37486209643
1176536700000,142,335412.31258355966,116546.59034870341
1176537000000,142,336750.52940352086,113891.07017555434
1176537300000,142,337904.45413211104,110556.01421887538
1176537600000,142,338269.24498408136,109753.85701321159
1176537900000,142,338302.3098180151,109506.55125969368
1176538200000,142,338345.6843162439,109142.18195840188
