LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000002,Std,1349996400000,7.098,0.886,0.1385
MAC000003,Std,1349996400000,13.434,1.437,0.165
MAC000004,Std,1349996400000,1.522,0.249,0
MAC000006,Std,1349996400000,4.074,0.445,0.069
MAC000007,Std,1349996400000,6.335,0.607,0.0765
MAC000008,Std,1349996400000,23.159,1.281,0.486
MAC000009,Std,1349996400000,8.153,0.765,0.161
MAC000010,Std,1349996400000,22.8919999,2.2079999,0.2905
MAC000012,Std,1349996400000,1.168,0.055,0.0175
MAC000013,Std,1349996400000,7.513,0.344,0.133
MAC000016,Std,1349996400000,0.145,0.01,0
MAC000018,Std,1349996400000,12.315,0.707,0.1595
MAC000019,Std,1349996400000,6.465,0.57,0.112
MAC000020,Std,1349996400000,9.605,1.143,0.0965
MAC000021,Std,1349996400000,26.139,1.426,0.413
MAC000022,Std,1349996400000,6.314,0.698,0.1
MAC000023,Std,1349996400000,17.928,1.127,0.3245
MAC000024,Std,1349996400000,17.103,2.224,0.1665
MAC000025,Std,1349996400000,4.228,1.165,0.0305
MAC000026,Std,1349996400000,22.701,1.177,0.39
MAC000027,Std,1349996400000,6.88,0.43,0.112
MAC000028,Std,1349996400000,6.457,0.299,0.111
MAC000029,Std,1349996400000,5.042,1.191,0.054
MAC000030,Std,1349996400000,7.141,0.433,0.1325
MAC000032,Std,1349996400000,11.413,0.738,0.2275
MAC000033,Std,1349996400000,7.231,0.43,0.137
MAC000034,Std,1349996400000,7.599,0.312,0.157
MAC000035,Std,1349996400000,14.969,0.948,0.2675
MAC000036,Std,1349996400000,2.928,0.271,0.043
MAC000037,Std,1349996400000,0,0,0
MAC000038,Std,1349996400000,8.169,0.441,0.1595
MAC000039,Std,1349996400000,9.199,1.016,0.108
MAC000040,Std,1349996400000,19.096,0.962,0.3925
MAC000041,Std,1349996400000,7.117,0.668,0.0665
MAC000042,Std,1349996400000,16.08,1.474,0.2755
MAC000043,Std,1349996400000,2.749,0.142,0.0475
MAC000045,Std,1349996400000,20.861,1.673,0.2465
MAC000047,Std,1349996400000,5.904,0.241,0.147
