timestamp,key,f1_tariff,f2_kwh_day,f3_kwh_max_30min,f4_kwh_median_30min,f5_kwh_p90_30min,f6_kwh_stdev_30min,f7_evening_share,f8_night_share,f9_load_factor,f10_peak_half_hour_slot,f11_zero_half_hour_count
1349996400000,MAC000002,0,7.098,0.886,0.1385,0.342,0.193891371376,0.59932375317,0,0.174158406124,39,21
1349996400000,MAC000003,0,13.434,1.437,0.165,0.478,0.317824088202,0.180065505434,0.415959505732,0.194763395964,1,0
1349996400000,MAC000004,0,1.522,0.249,0,0.177,0.0718632840693,0.262812089356,0.268068331143,0.12734270415,8,40
1349996400000,MAC000005,1,4.448,0.887,0.037,0.137,0.13503600343,0.583857913669,0.0881294964029,0.104472003006,37,0
1349996400000,MAC000006,0,4.074,0.445,0.069,0.148,0.0688275698757,0.291114383898,0.103583701522,0.190730337079,28,0
1349996400000,MAC000007,0,6.335,0.607,0.0765,0.32,0.153444546116,0.448934490923,0.130544593528,0.217428610653,42,0
1349996400000,MAC000008,0,23.159,1.281,0.486,0.762,0.218230763717,0.289995250227,0.143486333607,0.376642596929,19,0
1349996400000,MAC000009,0,8.153,0.765,0.161,0.26,0.136674032766,0.314976082424,0.0981233901631,0.222031590414,22,0
1349996400000,MAC000010,0,22.8919999,2.2079999,0.2905,0.969,0.391728310409,0.451293025735,0.119736152891,0.215994875989,34,0
1349996400000,MAC000012,0,1.168,0.055,0.0175,0.054,0.0236046723247,0.255993150685,0.255993150685,0.442424242424,3,20
1349996400000,MAC000013,0,7.513,0.344,0.133,0.279,0.0780611377872,0.433648342872,0.166910688141,0.455002422481,42,0
1349996400000,MAC000015,1,11.497,1.267,0.193,0.404,0.196238162019,0.316778289989,0.124902148387,0.189045645883,28,0
1349996400000,MAC000016,0,0.145,0.01,0,0.009,0.00404397485636,0.641379310345,0.0206896551724,0.302083333333,35,28
1349996400000,MAC000017,1,7.433,0.851,0.106,0.321,0.160554376768,0.327593165613,0.285214583614,0.18196729338,0,0
1349996400000,MAC000018,0,12.315,0.707,0.1595,0.487,0.166562539087,0.407389362566,0.270645554202,0.362888967468,37,0
1349996400000,MAC000019,0,6.465,0.57,0.112,0.183,0.0950230577829,0.262954369683,0.135344160866,0.236293859649,33,0
1349996400000,MAC000020,0,9.605,1.143,0.0965,0.534,0.230657144515,0.36887038001,0.0744403956273,0.175069262176,36,0
1349996400000,MAC000021,0,26.139,1.426,0.413,0.862,0.258914553654,0.227361413979,0.168177818585,0.381881136045,27,0
1349996400000,MAC000022,0,6.314,0.698,0.1,0.215,0.123260895112,0.517738359202,0.132404181185,0.188455109838,37,0
1349996400000,MAC000023,0,17.928,1.127,0.3245,0.752,0.284181720031,0.329428826417,0.0540495314592,0.3314108252,23,0
1349996400000,MAC000024,0,17.103,2.224,0.1665,0.974,0.443260324013,0.503478921827,0.110448459335,0.160212455036,31,0
1349996400000,MAC000025,0,4.228,1.165,0.0305,0.135,0.195021989501,0.109271523179,0.0423368022706,0.0756080114449,28,0
1349996400000,MAC000026,0,22.701,1.177,0.39,0.761,0.252440703124,0.317254746487,0.142724990089,0.401816057774,20,0
1349996400000,MAC000027,0,6.88,0.43,0.112,0.25,0.0724949231939,0.302761627907,0.19636627907,0.333333333333,14,0
1349996400000,MAC000028,0,6.457,0.299,0.111,0.235,0.0568968326533,0.362552268856,0.195911413969,0.44990245262,37,0
1349996400000,MAC000029,0,5.042,1.191,0.054,0.083,0.205467957592,0.185045616819,0.133478778263,0.0881961936748,15,0
1349996400000,MAC000030,0,7.141,0.433,0.1325,0.29,0.0927369127297,0.312841338748,0.155440414508,0.343581601232,35,0
1349996400000,MAC000031,1,17.8000001,1.3430001,0.274,0.649,0.298398533184,0.1624719092,0.0866853927714,0.276123088462,15,0
1349996400000,MAC000032,0,11.413,0.738,0.2275,0.51,0.186288110148,0.286077280294,0.368351879436,0.322182700994,23,0
1349996400000,MAC000033,0,7.231,0.43,0.137,0.225,0.0761666182303,0.307426358733,0.175079518739,0.350339147287,30,0
1349996400000,MAC000034,0,7.599,0.312,0.157,0.262,0.0794861508508,0.367548361627,0.168443216213,0.507411858974,39,0
1349996400000,MAC000035,0,14.969,0.948,0.2675,0.432,0.13522111361,0.329681341439,0.168615137952,0.328960091421,21,0
1349996400000,MAC000036,0,2.928,0.271,0.043,0.125,0.0632149112156,0.325819672131,0.0806010928962,0.225092250923,14,6
1349996400000,MAC000037,0,0,0,0,0,0,0,0,0,0,48
1349996400000,MAC000038,0,8.169,0.441,0.1595,0.274,0.0921094584923,0.383890317052,0.107234667646,0.385912698413,12,0
1349996400000,MAC000039,0,9.199,1.016,0.108,0.342,0.207024303081,0.181432764431,0.137080117404,0.188627788714,19,0
1349996400000,MAC000040,0,19.096,0.962,0.3925,0.505,0.152049927838,0.249790532049,0.151707163804,0.413548163548,25,0
1349996400000,MAC000041,0,7.117,0.668,0.0665,0.339,0.143673782633,0.56034846143,0.0976535056906,0.221962325349,38,0
1349996400000,MAC000042,0,16.08,1.474,0.2755,0.696,0.274362670566,0.378171641791,0.0731965174129,0.227272727273,16,0
1349996400000,MAC000043,0,2.749,0.142,0.0475,0.106,0.033370857785,0.399417970171,0.164423426701,0.4033157277,40,0
1349996400000,MAC000044,1,12.431,0.955,0.126,0.675,0.235216964523,0.305767838468,0.206982543641,0.271182373473,20,0
1349996400000,MAC000045,0,20.861,1.673,0.2465,1.15,0.418092729925,0.151239154403,0.27261396865,0.259775353656,28,0
1349996400000,MAC000046,1,10.689,0.776,0.204,0.373,0.161158327462,0.318271119843,0.101225558986,0.286968427835,20,0
1349996400000,MAC000047,0,5.904,0.241,0.147,0.17,0.0501589141297,0.320291327913,0.130081300813,0.510373443983,17,0
1349996400000,MAC000048,1,3.608,0.18,0.061,0.125,0.0329085433014,0.201219512195,0.275776053215,0.417592592593,23,0
1349996400000,MAC000049,0,34.9759998,3.7809999,0.475,1.3099999,0.649127490366,0.331941902058,0.148444648607,0.192717979839,31,0
1349996400000,MAC000050,0,22.2679999,1.5599999,0.3125,1.131,0.400423563437,0.376414583153,0.0535746364899,0.29738249636,39,0
1349996400000,MAC000051,1,21.9930001,2.0050001,0.3265,1.001,0.412360471904,0.179875414087,0.104533260108,0.228522433532,27,0
1349996400000,MAC000052,1,3.538,0.195,0.064,0.116,0.04120070708,0.344262295082,0.152063312606,0.377991452991,40,0
1349996400000,MAC000053,0,8.428,0.993,0.082,0.464,0.222851485798,0.471286188894,0.1205505458,0.1768210809,46,0
1349996400000,MAC000054,0,9.484,0.644,0.1805,0.31,0.104331170105,0.344474905103,0.159848165331,0.306806418219,33,0
1349996400000,MAC000055,0,11.212,0.568,0.1925,0.375,0.124128937221,0.392793435605,0.166428826258,0.411238262911,37,0
1349996400000,MAC000056,0,7.371,0.539,0.144,0.279,0.115685800456,0.366571699905,0.0512820512821,0.284902597403,23,0
1349996400000,MAC000057,0,9.808,0.653,0.1875,0.269,0.0852326065671,0.294963295269,0.241027732463,0.312914752425,23,0
1349996400000,MAC000058,0,5.221,0.793,0.0675,0.172,0.150277692898,0.466385749856,0.0678031028539,0.137163724254,36,0
1349996400000,MAC000059,0,18.255,1.177,0.319,0.552,0.226583700158,0.35217748562,0.147685565598,0.323120220901,32,0
1349996400000,MAC000060,0,9.078,0.493,0.107,0.419,0.151561954466,0.502313284865,0.0625688477638,0.383620689655,36,0
1349996400000,MAC000061,0,4.376,0.387,0.056,0.213,0.0843060726691,0.543418647166,0.0728976234004,0.235572782084,41,0
1349996400000,MAC000062,0,9.019,0.555,0.1695,0.258,0.0739242967454,0.303359574232,0.193702184278,0.338551051051,19,0
1349996400000,MAC000064,1,10.771,0.877,0.092,0.482,0.224232927591,0.4127750441,0.251322996936,0.255867540859,10,0
1349996400000,MAC000065,1,5.767,0.79,0.0455,0.255,0.144244293588,0.586440090168,0.0534073174961,0.152083333333,39,0
1349996400000,MAC000071,1,12.402,1.618,0.0935,0.648,0.317808945818,0.471536848895,0.0766811804548,0.159687886279,13,0
1349996400000,MAC000075,1,4.936,0.449,0.0775,0.23,0.0798629903161,0.457252836305,0.182333873582,0.229027468448,39,0
1349996400000,MAC000076,1,18.5239998,2.3989999,0.284,0.689,0.378818917702,0.408011222285,0.0956596857661,0.160865643429,37,0
1349996400000,MAC000082,1,4.102,0.759,0.051,0.098,0.136387615263,0.241345685032,0.360068259386,0.11259332455,32,0
1349996400000,MAC000088,1,12.696,0.547,0.2425,0.443,0.127714362283,0.360822306238,0.123582230624,0.483546617916,32,0
1349996400000,MAC000106,1,16.897,0.881,0.3585,0.642,0.188889020501,0.316979345446,0.0969402852577,0.399569617858,18,0
1349996400000,MAC000107,1,7.936,0.551,0.1295,0.379,0.124931703565,0.297505040323,0.117439516129,0.300060496068,33,0
1349996400000,MAC000109,1,5.765,0.531,0.099,0.196,0.0840900409242,0.349349522984,0.128360797918,0.226184871312,23,0
1349996400000,MAC000124,1,11.493,0.88,0.204,0.324,0.154606746598,0.370660401984,0.17471504394,0.272088068182,35,0
1349996400000,MAC000139,1,23.3719999,1.707,0.388,0.962,0.346222158407,0.373994520683,0.0992212908575,0.285247020846,22,0
1349996400000,MAC000141,1,2.533,0.109,0.07,0.089,0.0367413479517,0.369522305567,0.388866956178,0.484136085627,11,9
1349996400000,MAC000146,1,6.621,0.704,0.1275,0.181,0.0954693245346,0.378492674823,0.149373206464,0.195933948864,35,0
1349996400000,MAC000147,1,4.192,0.193,0.08,0.131,0.0416444941005,0.340410305344,0.179866412214,0.452504317789,14,0
